movie_title,rating
The Mask of Zorro ,3.35
Due Date ,3.3
Unbroken ,3.6
Space Cowboys ,3.2
Cliffhanger ,3.2
Broken Arrow ,3.0
The Kid ,3.05
World Trade Center ,3.0
Mona Lisa Smile ,3.2
The Dictator ,3.2
Eyes Wide Shut ,3.65
Annie ,2.6
Focus ,3.3
This Means War ,3.15
Blade: Trinity ,2.95
Red Dawn ,3.2
Primary Colors ,3.35
Resident Evil: Retribution ,2.7
Death Race ,3.2
The Long Kiss Goodnight ,3.35
Proof of Life ,3.1
Zathura: A Space Adventure ,3.05
Fight Club ,4.4
We Are Marshall ,3.55
The Missing             ,4.05
Hudson Hawk ,2.85
Lucky Numbers ,2.5
"I, Frankenstein ",2.55
Oliver Twist ,3.45
Elektra ,2.4
Sin City: A Dame to Kill For ,3.25
Random Hearts ,2.55
Everest ,3.55
Perfume: The Story of a Murderer ,3.75
Austin Powers in Goldmember ,3.1
Astro Boy ,3.15
Jurassic Park ,4.05
Wyatt Earp ,3.3
Clear and Present Danger ,3.45
Dragon Blade ,3.05
Littleman ,2.15
U-571 ,3.3
The American President ,3.4
The Love Guru ,1.9
3000 Miles to Graceland ,2.95
The Hateful Eight ,3.95
Blades of Glory ,3.15
Hop ,2.75
300 ,3.85
Meet the Fockers ,3.15
Marley & Me ,3.55
The Green Mile ,4.25
Wild Hogs ,2.95
Chicken Little ,2.9
Gone Girl ,4.05
The Bourne Identity ,3.95
GoldenEye ,3.6
The General's Daughter ,3.15
The Truman Show ,4.05
The Prince of Egypt ,3.5
Daddy Day Care ,2.75
2 Guns ,3.35
Cats & Dogs ,2.6
The Italian Job ,3.5
Two Weeks Notice ,3.05
Antz ,3.3
Couples Retreat ,2.75
Days of Thunder ,2.95
Cheaper by the Dozen 2 ,2.7
The Scorch Trials ,3.2
Eat Pray Love ,2.85
The Family Man ,3.35
RED ,3.55
Any Given Sunday ,3.4
The Horse Whisperer ,3.25
Collateral ,3.8
The Scorpion King ,2.75
Ladder 49 ,3.25
Jack Reacher ,3.5
Deep Blue Sea ,2.9
This Is It ,3.65
Contagion ,3.3
Kangaroo Jack ,2.2
Coraline ,3.85
The Happening ,2.5
Man on Fire ,3.85
The Shaggy Dog ,2.2
Starsky & Hutch ,3.05
Jingle All the Way ,2.7
Hellboy ,3.4
A Civil Action ,3.25
ParaNorman ,3.5
The Jackal ,3.15
Paycheck ,3.15
Up Close & Personal ,3.05
The Tale of Despereaux ,3.05
Rules of Engagement             ,3.65
The Tuxedo ,2.65
Under Siege 2: Dark Territory ,2.7
Jack Ryan: Shadow Recruit ,3.1
Joy ,3.3
London Has Fallen ,2.95
Alien: Resurrection ,3.15
Shooter ,3.6
The Boxtrolls ,3.4
Practical Magic ,3.05
The Lego Movie ,3.9
Miss Congeniality 2: Armed and Fabulous ,2.5
Reign of Fire ,3.1
Gangster Squad ,3.35
Year One ,2.45
Invictus ,3.7
State of Play ,3.55
Duplicity ,3.1
My Favorite Martian ,2.45
The Sentinel ,3.05
Planet 51 ,3.05
Star Trek: Nemesis ,3.2
Intolerable Cruelty ,3.15
Trouble with the Curve ,3.4
Edge of Darkness ,3.3
The Relic ,2.85
Analyze That ,2.95
Righteous Kill ,3.0
Mercury Rising ,3.05
The Soloist ,3.35
The Legend of Bagger Vance ,3.35
Almost Famous ,3.95
Garfield 2 ,2.5
xXx: State of the Union ,2.15
Priest ,2.85
Sinbad: Legend of the Seven Seas ,3.35
Event Horizon ,3.35
The Avengers ,4.05
Dragonfly ,3.05
The Black Dahlia ,2.8
Flyboys ,3.3
The Last Castle ,3.45
Supernova ,2.4
Winter's Tale ,3.1
The Mortal Instruments: City of Bones ,3.0
Meet Dave ,2.45
Dark Water ,2.8
Edtv ,3.05
Inkheart ,3.05
The Spirit ,2.4
Mortdecai ,2.75
In the Name of the King: A Dungeon Siege Tale ,1.9
Beyond Borders ,3.25
Xi you ji zhi: Sun Wukong san da Baigu Jing ,3.0
The Great Raid ,3.35
Deadpool ,4.05
Holy Man ,2.45
American Sniper ,3.65
Goosebumps ,3.2
"Sabrina, the Teenage Witch             ",3.3
Just Like Heaven ,3.35
The Flintstones in Viva Rock Vegas ,1.8
Rambo III ,2.85
Leatherheads ,3.0
The Ridiculous 6 ,2.45
Did You Hear About the Morgans? ,2.35
The Internship ,3.15
Resident Evil: Afterlife ,2.95
Red Tails ,2.95
Sex and the City             ,3.5
The Devil's Advocate ,3.75
That's My Boy ,2.8
DragonHeart ,3.2
After the Sunset ,3.15
Ghost Rider: Spirit of Vengeance ,2.15
Captain Corelli's Mandolin ,2.95
Anger Management             ,3.35
The Pacifier ,2.75
Walking Tall ,3.1
Forrest Gump ,4.4
Alvin and the Chipmunks ,2.6
Meet the Parents ,3.5
Pocahontas ,3.3
Superman ,3.65
The Nutty Professor ,2.8
Hitch ,3.3
George of the Jungle ,2.7
American Wedding ,3.15
Captain Phillips ,3.95
Date Night ,3.15
Casper ,3.0
The Equalizer ,3.6
Maid in Manhattan ,2.55
Crimson Tide ,3.65
The Pursuit of Happyness ,4.0
Flightplan ,3.1
Disclosure ,3.0
City of Angels ,3.35
Kill Bill: Vol. 1 ,4.05
Bowfinger ,3.2
Stargate SG-1             ,4.2
Kill Bill: Vol. 2 ,4.0
Tango & Cash ,3.15
Death Becomes Her ,3.2
Shanghai Noon ,3.3
Executive Decision ,3.2
Mr. Popper's Penguins ,3.0
The Forbidden Kingdom ,3.3
Free Birds ,2.95
Alien 3 ,3.2
Evita ,3.15
Ronin ,3.65
The Ghost and the Darkness ,3.4
Paddington ,3.6
The Watch ,2.85
The Hunted ,3.0
Instinct ,3.25
Stuck on You ,2.9
Semi-Pro ,2.9
The Pirates! Band of Misfits ,3.35
Changeling ,3.9
Chain Reaction ,2.8
The Fan ,2.9
The Phantom of the Opera ,3.7
Elizabeth: The Golden Age ,3.45
Æon Flux ,2.75
Gods and Generals ,3.15
Turbulence ,2.35
Imagine That ,2.8
Muppets Most Wanted ,3.2
Thunderbirds ,2.1
Burlesque ,3.2
A Very Long Engagement ,3.85
Lolita ,3.85
Eye See You ,2.65
Blade II ,3.35
Seven Pounds ,3.85
Bullet to the Head ,2.85
The Godfather: Part III ,3.8
Elizabethtown ,3.2
"You, Me and Dupree ",2.8
Superman II ,3.4
Gigli ,1.2
All the King's Men ,3.1
Shaft ,2.95
Anastasia ,3.55
Moulin Rouge! ,3.8
Domestic Disturbance ,2.75
Black Mass ,3.5
Flags of Our Fathers ,3.55
Law Abiding Citizen ,3.7
Grindhouse ,3.8
Beloved ,2.95
Lucky You ,2.95
Catch Me If You Can ,4.0
Zero Dark Thirty ,3.7
The Break-Up ,2.9
Mamma Mia! ,3.15
Valentine's Day ,2.85
The Dukes of Hazzard ,2.55
The Thin Red Line ,3.8
The Change-Up ,3.2
Man on the Moon ,3.7
Casino ,4.1
From Paris with Love ,3.25
Bulletproof Monk ,2.75
"Me, Myself & Irene ",3.25
Barnyard ,2.8
Deck the Halls ,2.45
The Twilight Saga: New Moon ,2.3
Shrek ,3.95
The Adjustment Bureau ,3.55
Robin Hood: Prince of Thieves ,3.45
Jerry Maguire ,3.65
Ted ,3.5
As Good as It Gets ,3.85
Patch Adams ,3.35
Anchorman 2: The Legend Continues ,3.15
Mr. Deeds ,2.9
Super 8 ,3.55
Erin Brockovich ,3.65
How to Lose a Guy in 10 Days ,3.2
22 Jump Street ,3.55
Interview with the Vampire: The Vampire Chronicles ,3.8
Yes Man ,3.4
Central Intelligence ,3.3
Stepmom ,3.35
Daddy's Home ,3.05
Into the Woods ,3.0
Inside Man ,3.8
Payback ,3.55
Congo ,2.5
We Bought a Zoo ,3.55
Knowing ,3.1
Failure to Launch ,2.8
The Ring Two ,2.7
"Crazy, Stupid, Love. ",3.7
Garfield ,2.5
Christmas with the Kranks ,2.6
Moneyball ,3.8
Outbreak ,3.3
Non-Stop ,3.5
Race to Witch Mountain ,2.85
V for Vendetta ,4.1
Shanghai Knights ,3.1
Unforgotten             ,3.95
Curious George ,3.3
Herbie Fully Loaded ,2.35
Don't Say a Word ,3.15
Hansel & Gretel: Witch Hunters ,3.05
Unfaithful ,3.35
I Am Number Four ,3.05
Syriana ,3.5
13 Hours ,3.7
The Book of Life ,3.65
Firewall ,2.9
Absolute Power ,3.35
G.I. Jane ,2.9
The Game ,3.9
Silent Hill ,3.3
The Replacements ,3.25
American Reunion ,3.35
The Negotiator ,3.65
Into the Storm ,2.9
Beverly Hills Cop III ,2.75
Gremlins 2: The New Batch ,3.15
The Judge ,3.7
The Peacemaker ,2.95
Resident Evil: Apocalypse ,3.1
Bridget Jones: The Edge of Reason ,2.95
Out of Time ,3.25
On Deadly Ground ,2.2
The Adventures of Sharkboy and Lavagirl 3-D ,1.75
The Beach ,3.3
Raising Helen ,3.0
Ninja Assassin ,3.2
For Love of the Game ,3.25
A Touch of Frost             ,3.9
Striptease ,2.15
