director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,keywords
Michael Bay,Glenn Morshower,Lester Speight,Kevin Dunn,Action Adventure Sci-Fi,transformers: dark of the moon,autobot decepticon job interview moon spacecraft
Steven Spielberg,Harrison Ford,Ray Winstone,Jim Broadbent,Action Adventure Fantasy,indiana jones and the kingdom of the crystal skull,cult figure femme fatale indiana jones unsubtitled foreign language year 1957
Peter Sohn,A.J. Buckley,Jack McGraw,Peter Sohn,Adventure Animation Comedy Family Fantasy,the good dinosaur,apatosaurus asteroid dinosaur fear river
Mark Andrews,Kelly Macdonald,John Ratzenberger,Julie Walters,Adventure Animation Comedy Family Fantasy,brave,archery coming of age female warrior princess rebellious daughter
Justin Lin,Sofia Boutella,Melissa Roxburgh,Lydia Wilson,Action Adventure Sci-Fi Thriller,star trek beyond,hatred sequel space opera star trek third part
Andrew Stanton,John Ratzenberger,Fred Willard,Jeff Garlin,Adventure Animation Family Sci-Fi,wall·e,earth obesity plant robot soil
Brett Ratner,Tzi Ma,Dana Ivey,Noémie Lenoir,Action Comedy Crime Thriller,rush hour 3,ambassador assassination chinese french triad
Roland Emmerich,Oliver Platt,Liam James,Tom McCarthy,Action Adventure Sci-Fi,2012,ark catastrophe geologist president writer
Robert Zemeckis,Robin Wright,Colin Firth,Gary Oldman,Animation Drama Family Fantasy,a christmas carol,charles dickens christmas christmas eve ghost scrooge
Lana Wachowski,Channing Tatum,Mila Kunis,Eddie Redmayne,Action Adventure Sci-Fi,jupiter ascending,box office flop critically bashed planet earth space opera woman in bra and panties
David Yates,Christoph Waltz,Alexander Skarsgård,Casper Crump,Action Adventure Drama Romance,the legend of tarzan,africa capture jungle male objectification tarzan
Andrew Adamson,Jim Broadbent,Kiran Shah,Shane Rangi,Adventure Family Fantasy,"the chronicles of narnia: the lion, the witch and the wardrobe",hide and seek lion magic professor snow
Bryan Singer,Jennifer Lawrence,Michael Fassbender,Tye Sheridan,Action Adventure Sci-Fi,x-men: apocalypse,mutant superhero superhero team x men year 1983
Christopher Nolan,Christian Bale,Heath Ledger,Morgan Freeman,Action Crime Drama Thriller,the dark knight,based on comic book dc comics psychopath star died before release urban setting
Pete Docter,John Ratzenberger,Delroy Lindo,Jess Harnell,Adventure Animation Comedy Family,up,balloon house promise retirement skeleton
Rob Letterman,Amy Poehler,Rainn Wilson,Stephen Colbert,Action Adventure Animation Comedy Family Sci-Fi,monsters vs. aliens,alien alien invasion alien space craft giant giantess
Jon Favreau,Robert Downey Jr.,Jeff Bridges,Jon Favreau,Action Adventure Sci-Fi,iron man,afghanistan billionaire inventor playboy u.s. air force
Martin Scorsese,Chloë Grace Moretz,Christopher Lee,Ray Winstone,Adventure Drama Family Mystery,hugo,automaton mechanical railway station steampunk train
Barry Sonnenfeld,Will Smith,Salma Hayek,Bai Ling,Action Comedy Sci-Fi Western,wild wild west,buddy movie general inventor steampunk utah
Rob Cohen,Jet Li,Brendan Fraser,Russell Wong,Action Adventure Fantasy Horror Thriller,the mummy: tomb of the dragon emperor,army china emperor mummy shangri la
David Ayer,Will Smith,Robin Atkin Downes,Ike Barinholtz,Action Adventure Comedy Sci-Fi,suicide squad,based on comic book critically bashed father daughter relationship reference to superman super villain
Tom Shadyac,Jimmy Bennett,Morgan Freeman,Steve Carell,Comedy Family Fantasy,evan almighty,ark change congressman depiction of god flood
Doug Liman,Tom Cruise,Lara Pulver,Noah Taylor,Action Adventure Sci-Fi,edge of tomorrow,alien combat dying repeatedly end of the world time loop
Kevin Reynolds,Jeanne Tripplehorn,Rick Aviles,Zakes Mokae,Action Adventure Sci-Fi Thriller,waterworld,future sail sea smoker water
Stephen Sommers,Joseph Gordon-Levitt,Dennis Quaid,Leo Howard,Action Adventure Sci-Fi Thriller,g.i. joe: the rise of cobra,cobra gi joe snake train warhead
Pete Docter,Amy Poehler,Mindy Kaling,Phyllis Smith,Adventure Animation Comedy Drama Family Fantasy,inside out,anger joy memory running away sadness
Jon Favreau,Scarlett Johansson,Bill Murray,Garry Shandling,Adventure Drama Family Fantasy,the jungle book,fire jungle remake tiger wolf
Jon Favreau,Robert Downey Jr.,Scarlett Johansson,Jon Favreau,Action Adventure Sci-Fi,iron man 2,hammer military monaco revenge tony stark
Rupert Sanders,Chris Hemsworth,Kristen Stewart,Sam Claflin,Action Adventure Drama Fantasy,snow white and the huntsman,evil queen fairy tale magic queen snow white
Robert Stromberg,Angelina Jolie Pitt,Sharlto Copley,Sam Riley,Action Adventure Family Fantasy Romance,maleficent,curse dark fantasy fairy king kingdom
Matt Reeves,Gary Oldman,Judy Greer,Kodi Smit-McPhee,Action Adventure Drama Sci-Fi,dawn of the planet of the apes,ape dam leader post apocalypse sequel
Roland Joffé,Tamsin Egerton,Alice Englert,Bipasha Basu,Action Adventure Romance Sci-Fi,the lovers,1770s british india great barrier reef india ring
Carl Rinsch,Keanu Reeves,Cary-Hiroyuki Tagawa,Jin Akanishi,Action Adventure Drama Fantasy,47 ronin,box office flop ronin samurai shogun tournament
Anthony Russo,Scarlett Johansson,Chris Evans,Hayley Atwell,Action Adventure Sci-Fi,captain america: the winter soldier,conspiracy heroism megalomaniac super soldier world domination
Mike Mitchell,Jon Hamm,Kathy Griffin,Mary Kay Place,Adventure Animation Comedy Family Fantasy,shrek forever after,alternate world fairy tale parody female warrior ogre true love
Brad Bird,Judy Greer,Chris Bauer,Thomas Robinson,Action Adventure Family Mystery Sci-Fi,tomorrowland,boy genius futuristic city inventor teenage girl time travel
Don Hall,Damon Wayans Jr.,Daniel Henney,Abraham Benrubi,Action Adventure Animation Comedy Drama Family Sci-Fi,big hero 6,high tech martial arts masked man robot superhero
Rich Moore,Jack McBrayer,Sarah Silverman,Joe Lo Truglio,Adventure Animation Comedy Family Sci-Fi,wreck-it ralph,arcade candy glitch king medal
Robert Zemeckis,Tom Hanks,Eddie Deezen,Peter Scolari,Adventure Animation Family Fantasy,the polar express,boy christmas christmas eve north pole train
Roland Emmerich,Vivica A. Fox,Sela Ward,Judd Hirsch,Action Adventure Sci-Fi,independence day: resurgence,alien battle defense independence day mothership
Dean DeBlois,Gerard Butler,America Ferrera,Craig Ferguson,Adventure Animation Family Fantasy,how to train your dragon,dragon island training viking village
Jonathan Mostow,Nick Stahl,M.C. Gainey,Carolyn Hennesy,Action Sci-Fi,terminator 3: rise of the machines,drifter exploding truck future machine skynet
James Gunn,Bradley Cooper,Vin Diesel,Djimon Hounsou,Action Adventure Sci-Fi,guardians of the galaxy,bounty hunter outer space raccoon talking animal tree
Christopher Nolan,Matthew McConaughey,Anne Hathaway,Mackenzie Foy,Adventure Drama Sci-Fi,interstellar,black hole father daughter relationship saving the world space travel wormhole
Christopher Nolan,Leonardo DiCaprio,Tom Hardy,Joseph Gordon-Levitt,Action Adventure Sci-Fi Thriller,inception,ambiguous ending corporate espionage dream subconscious thief
Hideaki Anno,Mark Chinnery,Shin'ya Tsukamoto,Atsuko Maeda,Action Adventure Drama Horror Sci-Fi,godzilla resurgence,blood godzilla monster sequel
Peter Jackson,Aidan Turner,Adam Brown,James Nesbitt,Adventure Fantasy,the hobbit: an unexpected journey,dragon dwarf hobbit orc wizard
Rob Cohen,Paul Walker,Vin Diesel,Jordana Brewster,Action Crime Thriller,the fast and the furious,eighteen wheeler illegal street racing truck trucker undercover cop
David Fincher,Brad Pitt,Jason Flemyng,Julia Ormond,Drama Fantasy Romance,the curious case of benjamin button,deformed baby diary lingerie slip older man younger woman relationship premature aging
Matthew Vaughn,Jennifer Lawrence,Michael Fassbender,Oliver Platt,Action Adventure Sci-Fi,x-men: first class,cia cia agent mutant nuclear war professor
Francis Lawrence,Jennifer Lawrence,Philip Seymour Hoffman,Josh Hutcherson,Adventure Sci-Fi,the hunger games: mockingjay - part 2,death of sister dystopia execution rebellion revolution
Jon Turteltaub,Nicolas Cage,Omar Benson Miller,Robert Capron,Action Adventure Family Fantasy,the sorcerer's apprentice,chosen one enchanted object love spell training
Wolfgang Petersen,Jimmy Bennett,Mike Vogel,Andre Braugher,Action Adventure Drama Thriller,poseidon,cruise escape ocean passenger water
James Bobin,Johnny Depp,Alan Rickman,Anne Hathaway,Adventure Family Fantasy,alice through the looking glass,clock dark fantasy mad hatter queen sequel
Chris Miller,Justin Timberlake,Eric Idle,Rupert Everett,Adventure Animation Comedy Family Fantasy,shrek the third,disney spoof fairy tale prince princess tough guy
Duncan Jones,Dominic Cooper,Callum Rennie,Ruth Negga,Action Adventure Fantasy,warcraft,based on video game fictional language fictional war orc sword and sorcery
Alan Taylor,J.K. Simmons,Emilia Clarke,Matt Smith,Action Adventure Sci-Fi,terminator genisys,alternate timeline cyborg future robot time machine
Michael Apted,Bruce Spence,Shane Rangi,Laura Brent,Adventure Family Fantasy,the chronicles of narnia: the voyage of the dawn treader,dragon king mouse quest warrior
Michael Bay,Jennifer Garner,Jaime King,Mako,Action Drama History Romance War,pearl harbor,air raid black smoke japanese military japanese navy sunday
Michael Bay,Zack Ward,Michael O'Neill,Kevin Dunn,Action Adventure Sci-Fi,transformers,alien contact autobot decepticon robot vs. robot teenage hero
Oliver Stone,Anthony Hopkins,Angelina Jolie Pitt,Brian Blessed,Action Adventure Biography Drama History Romance War,alexander,ancient greece conquest greek greek myth king
David Yates,Robert Pattinson,Daniel Radcliffe,Fiona Shaw,Adventure Family Fantasy Mystery,harry potter and the order of the phoenix,battle magic school teacher wizard
Mike Newell,Robert Pattinson,Daniel Radcliffe,Rupert Grint,Adventure Family Fantasy Mystery,harry potter and the goblet of fire,fire goblet magic tournament wizard
Peter Berg,Will Smith,Charlize Theron,Eddie Marsan,Action Drama,hancock,bully comeuppance destruction prison superhero tough girl
Francis Lawrence,Will Smith,Alice Braga,Willow Smith,Drama Horror Sci-Fi,i am legend,new york city pandemic post apocalypse survivalist virus
Tim Burton,Johnny Depp,Christopher Lee,David Kelly,Adventure Comedy Family Fantasy,charlie and the chocolate factory,chocolate diminution miniaturization physical flexability ticket
Brad Bird,Janeane Garofalo,John Ratzenberger,Brian Dennehy,Animation Comedy Family Fantasy,ratatouille,chef food french rat restaurant
Christopher Nolan,Christian Bale,Liam Neeson,Morgan Freeman,Action Adventure,batman begins,armored car gangster gotham mixed martial arts social decay
Eric Darnell,Bernie Mac,Jada Pinkett Smith,Cedric the Entertainer,Action Adventure Animation Comedy Family,madagascar: escape 2 africa,africa madagascar new york city sequel zoo
Shawn Levy,Robin Williams,Rami Malek,Steve Coogan,Adventure Comedy Family Fantasy,night at the museum: battle of the smithsonian,hdtv motorcycle museum security guard tyrannosaurus rex
Gavin Hood,Hugh Jackman,Ryan Reynolds,Dominic Monaghan,Action Adventure Fantasy Sci-Fi Thriller,x-men origins: wolverine,army civil war claw fight commando wolverine the character
Lana Wachowski,Essie Davis,Collin Chou,Nona Gaye,Action Sci-Fi,the matrix revolutions,battle epic fight future machine
Chris Buck,Josh Gad,Maurice LaMarche,Livvy Stubenrauch,Adventure Animation Comedy Family Fantasy Musical,frozen,magic sister love sister sister relationship snow snowman
Lana Wachowski,Steve Bastoni,Daniel Bernhardt,Helmut Bakaitis,Action Sci-Fi,the matrix reloaded,car motorcycle chase one against many oracle prophecy stylized violence
Alan Taylor,Chris Hemsworth,Natalie Portman,Anthony Hopkins,Action Adventure Fantasy,thor: the dark world,arrest portal thor warrior weapon
George Miller,Tom Hardy,Charlize Theron,Zoë Kravitz,Action Adventure Sci-Fi Thriller,mad max: fury road,australia desert escape on the run post apocalypse
Ron Howard,Tom Hanks,Ayelet Zurer,Armin Mueller-Stahl,Mystery Thriller,angels & demons,conclave illuminati murder reference to bernini reference to raphael
Kenneth Branagh,Chris Hemsworth,Natalie Portman,Anthony Hopkins,Action Adventure Fantasy,thor,battle marvel cinematic universe scientist thor throne
Byron Howard,Chloë Grace Moretz,Diedrich Bader,James Lipton,Adventure Animation Comedy Drama Family,bolt,cat dog hamster new york city superpower
Hoyt Yeatman,Kelli Garner,Piper Mackenzie Harris,Niecy Nash,Action Adventure Animation Comedy Family Fantasy Sci-Fi,g-force,fbi director guinea pig household appliance secret agent talking mouse
Jonathan Liebesman,Liam Neeson,Edgar Ramírez,Lily James,Action Adventure Fantasy,wrath of the titans,ares hades titan underworld zeus
Tim Burton,Johnny Depp,Chloë Grace Moretz,Christopher Lee,Comedy Fantasy Horror,dark shadows,camera shot of feet cartoon on tv female stockinged feet female stockinged soles foot closeup
Christopher McQuarrie,Tom Cruise,Jeremy Renner,Sean Harris,Action Adventure Thriller,mission: impossible - rogue nation,capture computer hacker mission rogue agent spy
Joe Johnston,Anthony Hopkins,Simon Merrells,Art Malik,Drama Fantasy Horror Thriller,the wolfman,asylum death full moon transformation werewolf
David Yates,Christoph Waltz,Alexander Skarsgård,Casper Crump,Action Adventure Drama Romance,the legend of tarzan,africa capture jungle male objectification tarzan
Steve Hickner,Matthew Broderick,Oprah Winfrey,Rip Torn,Adventure Animation Comedy Family,bee movie,bee dream sequence egg scatological humor squashed bug
Jennifer Yuh Nelson,Angelina Jolie Pitt,Gary Oldman,Mike Bell,Action Adventure Animation Comedy Family,kung fu panda 2,china kung fu panda peacock tigress
M. Night Shyamalan,Seychelle Gabriel,Noah Ringer,Aasif Mandvi,Action Adventure Family Fantasy,the last airbender,avatar fire kingdom tribe water
J.J. Abrams,Philip Seymour Hoffman,Tom Cruise,Eddie Marsan,Action Adventure Thriller,mission: impossible iii,arms dealer fictional government agency mission rescue vatican
Roland Emmerich,Channing Tatum,Jake Weber,Matt Craven,Action Drama Thriller,white house down,black u.s. president president secret service tour white house
Simon Wells,Elisabeth Harnois,Dan Fogler,Tom Everett Scott,Action Adventure Animation Comedy Family Sci-Fi,mars needs moms,boy martian rescue robot sexism
David Bowers,Hugh Jackman,Kate Winslet,David Suchet,Adventure Animation Comedy Family,flushed away,boat frog rat sewer toad
Joe Wright,Hugh Jackman,Cara Delevingne,Nonso Anozie,Adventure Family Fantasy,pan,1940s child hero fantasy world orphan reference to peter pan
Rob Minkoff,Ty Burrell,Zach Callison,Karan Brar,Adventure Animation Comedy Family Sci-Fi,mr. peabody & sherman,dog father son relationship inventor talking dog time travel
Wolfgang Petersen,Brad Pitt,Orlando Bloom,Julian Glover,Adventure,troy,greek mythology prince trojan troy
Eric Darnell,Jada Pinkett Smith,Martin Short,Cedric the Entertainer,Adventure Animation Comedy Family,madagascar 3: europe's most wanted,animal circus island name in title lemur penguin
Lee Tamahori,Toby Stephens,Colin Salmon,Rick Yune,Action Adventure Thriller,die another day,catfight clinic colonel diamond patricide
Paul Feig,Ed Begley Jr.,Kate McKinnon,Zach Woods,Action Comedy Fantasy Sci-Fi,ghostbusters,ghost ghostbuster ghostbusters male objectification reboot
Michael Bay,Bruce Willis,Steve Buscemi,Will Patton,Action Adventure Sci-Fi Thriller,armageddon,asteroid astronaut bomb meteorite outer space
Barry Sonnenfeld,Will Smith,Rosario Dawson,Rip Torn,Action Adventure Comedy Family Fantasy Mystery Sci-Fi,men in black ii,alien lingerie lingerie model m.i.b. pug
Robert Zemeckis,Robin Wright,Anthony Hopkins,Sebastian Roché,Action Adventure Animation Fantasy,beowulf,creature demon king reward warrior
Alessandro Carloni,J.K. Simmons,Angelina Jolie Pitt,Wayne Knight,Action Adventure Animation Comedy Family,kung fu panda 3,china kung fu panda pig village
Brad Bird,Tom Cruise,Jeremy Renner,Michael Nyqvist,Action Adventure Thriller,mission: impossible - ghost protocol,dubai kremlin race against time russian terrorist
Peter Ramsey,Hugh Jackman,Kamil McFadden,Khamani Griffin,Adventure Animation Family Fantasy,rise of the guardians,belief box office hit children new york city tooth
Dean Parisot,John Michael Higgins,Richard Burgi,David Herman,Comedy Crime,fun with dick and jane,animal abuse ceo heist suburb unemployment
Edward Zwick,Tom Cruise,Tony Goldwyn,Chad Lindberg,Action Drama History War,the last samurai,captain emperor honor japan samurai
Ridley Scott,Christian Bale,María Valverde,Ben Mendelsohn,Action Adventure Drama,exodus: gods and kings,egypt exodus moses pharaoh plague
J.J. Abrams,Chris Hemsworth,Leonard Nimoy,Bruce Greenwood,Action Adventure Sci-Fi,star trek,box office hit future lifted by the throat star trek vulcan
Sam Raimi,J.K. Simmons,James Franco,Kirsten Dunst,Action Adventure Fantasy Romance,spider-man,evil goblin spider spider man superhero
Dean DeBlois,Gerard Butler,Djimon Hounsou,America Ferrera,Action Adventure Animation Comedy Family Fantasy,how to train your dragon 2,dragon father son relationship husband wife relationship mother son relationship viking
Alex Proyas,Gerard Butler,Elodie Yung,Bryan Brown,Action Adventure Fantasy,gods of egypt,ancient egypt egypt egyptian egyptian god egyptian goddess
Rob Cohen,Sam Shepard,Joe Morton,Richard Roxburgh,Action Adventure Sci-Fi Thriller,stealth,artificial intelligence box office flop fighter jet navy pilot
Zack Snyder,Matt Frewer,Billy Crudup,Stephen McHattie,Action Drama Mystery Sci-Fi,watchmen,conspiracy cynicism false promise of the american dream male full frontal nudity male nudity
Richard Donner,Jet Li,Rene Russo,Darlene Love,Action Crime Thriller,lethal weapon 4,kung fu lapd martial arts private investigator triad
Ang Lee,Kevin Rankin,Regi Davis,Celia Weston,Action Sci-Fi,hulk,1980s c 130 hercules monster panzer san francisco california
Jon M. Chu,Channing Tatum,Dwayne Johnson,Elodie Yung,Action Adventure Sci-Fi Thriller,g.i. joe: retaliation,general gi joe martial arts ninja president
Breck Eisner,Matthew McConaughey,Rainn Wilson,Delroy Lindo,Action Adventure Comedy Thriller,sahara,beach civil war desert dictator ship
Hironobu Sakaguchi,Steve Buscemi,Ming-Na Wen,Jean Simmons,Action Adventure Animation Fantasy Romance Sci-Fi,final fantasy: the spirits within,general military scientist soldier year 2065
Joe Johnston,Chris Evans,Dominic Cooper,Hayley Atwell,Action Adventure Sci-Fi,captain america: the first avenger,arctic captain america scientist tesseract war bond
Michael Apted,Colin Salmon,Maria Grazia Cucinotta,Desmond Llewelyn,Action Adventure Thriller,the world is not enough,british oil scientist terrorist tycoon
Peter Weir,James D'Arcy,Lee Ingleby,David Threlfall,Action Adventure Drama History War,master and commander: the far side of the world,1800s napoleonic wars pursuit royal navy ship
Bill Condon,Robert Pattinson,Kristen Stewart,Taylor Lautner,Adventure Drama Fantasy Romance,the twilight saga: breaking dawn - part 2,battle friend super strength vampire vision
George Miller,Robin Williams,Brad Pitt,Common,Animation Comedy Family Musical,happy feet 2,3d antarctica krill penguin sequel
Louis Leterrier,Ty Burrell,Peter Mensah,William Hurt,Action Adventure Sci-Fi,the incredible hulk,antidote cure hulk marvel cinematic universe opening action scene
Steven Spielberg,Mark Rylance,Penelope Wilton,Rafe Spall,Adventure Family Fantasy,the bfg,cannibal evil brother giant london england queen
Alejandro G. Iñárritu,Leonardo DiCaprio,Tom Hardy,Lukas Haas,Adventure Drama Thriller Western,the revenant,bear attack cauterizing a wound native american revenge survival
David Soren,Ryan Reynolds,Snoop Dogg,Ben Schwartz,Adventure Animation Comedy Family Sport,turbo,accident freak accident race snail underdog
Gore Verbinski,Johnny Depp,Ray Winstone,Stephen Root,Adventure Animation Comedy Family Western,rango,chameleon lizard sheriff water western town
Eric Darnell,Benedict Cumberbatch,Annet Mahendru,Andy Richter,Adventure Animation Comedy Family,penguins of madagascar,little girl park spy statue of liberty television van
Paul Greengrass,Matt Damon,Edgar Ramírez,Albert Finney,Action Mystery Thriller,the bourne ultimatum,action hero cia dark past flashback memory
Mark Osborne,Angelina Jolie Pitt,Wayne Knight,Dan Fogler,Action Adventure Animation Comedy Family,kung fu panda,kung fu kung fu master master panda snow leopard
Peyton Reed,Judy Greer,Hayley Atwell,T.I.,Action Adventure Comedy Sci-Fi,ant-man,ant chinatown san francisco heist sabotage vault
Francis Lawrence,Jennifer Lawrence,Josh Hutcherson,Sandra Ellis Lafferty,Adventure Sci-Fi Thriller,the hunger games: catching fire,president snow television tour uprising
Bill Condon,Robert Pattinson,Kristen Stewart,Taylor Lautner,Adventure Drama Fantasy Romance,the twilight saga: breaking dawn - part 2,battle friend super strength vampire vision
