director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,keywords,comb
Gore Verbinski,Johnny Depp,Ruth Wilson,Tom Wilkinson,Action Adventure Western,the lone ranger,horse outlaw texas texas ranger train,Johnny Depp Ruth Wilson Tom Wilkinson Gore Verbinski Action Adventure Western horse outlaw texas texas ranger train
Zack Snyder,Henry Cavill,Christopher Meloni,Harry Lennix,Action Adventure Fantasy Sci-Fi,man of steel,based on comic book british actor playing american character final battle origin of hero reboot,Henry Cavill Christopher Meloni Harry Lennix Zack Snyder Action Adventure Fantasy Sci-Fi based on comic book british actor playing american character final battle origin of hero reboot
Andrew Adamson,Peter Dinklage,Pierfrancesco Favino,Damián Alcázar,Action Adventure Family Fantasy,the chronicles of narnia: prince caspian,brother brother relationship brother sister relationship good versus evil king narnia,Peter Dinklage Pierfrancesco Favino Damián Alcázar Andrew Adamson Action Adventure Family Fantasy brother brother relationship brother sister relationship good versus evil king narnia
Rob Marshall,Johnny Depp,Sam Claflin,Stephen Graham,Action Adventure Fantasy,pirates of the caribbean: on stranger tides,blackbeard captain pirate revenge soldier,Johnny Depp Sam Claflin Stephen Graham Rob Marshall Action Adventure Fantasy blackbeard captain pirate revenge soldier
Barry Sonnenfeld,Will Smith,Michael Stuhlbarg,Nicole Scherzinger,Action Adventure Comedy Family Fantasy Sci-Fi,men in black 3,alien criminal m.i.b. maximum security prison prison,Will Smith Michael Stuhlbarg Nicole Scherzinger Barry Sonnenfeld Action Adventure Comedy Family Fantasy Sci-Fi alien criminal m.i.b. maximum security prison prison
Peter Jackson,Aidan Turner,Adam Brown,James Nesbitt,Adventure Fantasy,the hobbit: the battle of the five armies,army elf hobbit middle earth orc,Aidan Turner Adam Brown James Nesbitt Peter Jackson Adventure Fantasy army elf hobbit middle earth orc
Marc Webb,Emma Stone,Andrew Garfield,Chris Zylka,Action Adventure Fantasy,the amazing spider-man,lizard outcast spider spider man teenager,Emma Stone Andrew Garfield Chris Zylka Marc Webb Action Adventure Fantasy lizard outcast spider spider man teenager
Ridley Scott,Mark Addy,William Hurt,Scott Grimes,Action Adventure Drama History,robin hood,1190s archer england king of england robin hood,Mark Addy William Hurt Scott Grimes Ridley Scott Action Adventure Drama History 1190s archer england king of england robin hood
Peter Jackson,Aidan Turner,Adam Brown,James Nesbitt,Adventure Fantasy,the hobbit: the desolation of smaug,dwarf elf lake town mountain sword and sorcery,Aidan Turner Adam Brown James Nesbitt Peter Jackson Adventure Fantasy dwarf elf lake town mountain sword and sorcery
Chris Weitz,Christopher Lee,Eva Green,Kristin Scott Thomas,Adventure Family Fantasy,the golden compass,children epic friend girl quest,Christopher Lee Eva Green Kristin Scott Thomas Chris Weitz Adventure Family Fantasy children epic friend girl quest
James Cameron,Leonardo DiCaprio,Kate Winslet,Gloria Stuart,Drama Romance,titanic,artist love ship titanic wet,Leonardo DiCaprio Kate Winslet Gloria Stuart James Cameron Drama Romance artist love ship titanic wet
Anthony Russo,Robert Downey Jr.,Scarlett Johansson,Chris Evans,Action Adventure Sci-Fi,captain america: civil war,based on comic book knife marvel cinematic universe returning character killed off superhero,Robert Downey Jr. Scarlett Johansson Chris Evans Anthony Russo Action Adventure Sci-Fi based on comic book knife marvel cinematic universe returning character killed off superhero
Peter Berg,Liam Neeson,Alexander Skarsgård,Tadanobu Asano,Action Adventure Sci-Fi Thriller,battleship,box office flop hawaii naval oahu hawaii ship,Liam Neeson Alexander Skarsgård Tadanobu Asano Peter Berg Action Adventure Sci-Fi Thriller box office flop hawaii naval oahu hawaii ship
Colin Trevorrow,Bryce Dallas Howard,Judy Greer,Omar Sy,Action Adventure Sci-Fi Thriller,jurassic world,dinosaur disaster film experiment gone wrong jurassic park velociraptor,Bryce Dallas Howard Judy Greer Omar Sy Colin Trevorrow Action Adventure Sci-Fi Thriller dinosaur disaster film experiment gone wrong jurassic park velociraptor
Sam Raimi,J.K. Simmons,James Franco,Kirsten Dunst,Action Adventure Fantasy Romance,spider-man 2,death doctor scientist super villain tentacle,J.K. Simmons James Franco Kirsten Dunst Sam Raimi Action Adventure Fantasy Romance death doctor scientist super villain tentacle
Shane Black,Robert Downey Jr.,Jon Favreau,Don Cheadle,Action Adventure Sci-Fi,iron man 3,armor explosion human bomb missile attack terrorist,Robert Downey Jr. Jon Favreau Don Cheadle Shane Black Action Adventure Sci-Fi armor explosion human bomb missile attack terrorist
Brett Ratner,Hugh Jackman,Kelsey Grammer,Daniel Cudmore,Action Adventure Fantasy Sci-Fi Thriller,x-men: the last stand,battle mutant outrage walking through a wall x men,Hugh Jackman Kelsey Grammer Daniel Cudmore Brett Ratner Action Adventure Fantasy Sci-Fi Thriller battle mutant outrage walking through a wall x men
Dan Scanlon,Steve Buscemi,Tyler Labine,Sean Hayes,Adventure Animation Comedy Family Fantasy,monsters university,cheating fraternity monster singing in a car university,Steve Buscemi Tyler Labine Sean Hayes Dan Scanlon Adventure Animation Comedy Family Fantasy cheating fraternity monster singing in a car university
Michael Bay,Glenn Morshower,Kevin Dunn,Ramon Rodriguez,Action Adventure Sci-Fi,transformers: revenge of the fallen,autobot decepticon machine sun symbol,Glenn Morshower Kevin Dunn Ramon Rodriguez Michael Bay Action Adventure Sci-Fi autobot decepticon machine sun symbol
Michael Bay,Bingbing Li,Sophia Myles,Kelsey Grammer,Action Adventure Sci-Fi,transformers: age of extinction,blockbuster bumblebee the character semi truck and trailer texas truck,Bingbing Li Sophia Myles Kelsey Grammer Michael Bay Action Adventure Sci-Fi blockbuster bumblebee the character semi truck and trailer texas truck
Marc Webb,Emma Stone,Andrew Garfield,B.J. Novak,Action Adventure Fantasy Sci-Fi,the amazing spider-man 2,costumed hero death of girlfriend masked vigilante returning character killed off teenager,Emma Stone Andrew Garfield B.J. Novak Marc Webb Action Adventure Fantasy Sci-Fi costumed hero death of girlfriend masked vigilante returning character killed off teenager
John Lasseter,Joe Mantegna,Thomas Kretschmann,Eddie Izzard,Adventure Animation Comedy Family Sport,cars 2,best friend car race conspiracy gadget car spy,Joe Mantegna Thomas Kretschmann Eddie Izzard John Lasseter Adventure Animation Comedy Family Sport best friend car race conspiracy gadget car spy
Martin Campbell,Ryan Reynolds,Temuera Morrison,Taika Waititi,Action Adventure Sci-Fi,green lantern,autopsy lantern planet ring test pilot,Ryan Reynolds Temuera Morrison Taika Waititi Martin Campbell Action Adventure Sci-Fi autopsy lantern planet ring test pilot
Lee Unkrich,Tom Hanks,John Ratzenberger,Don Rickles,Adventure Animation Comedy Family Fantasy,toy story 3,college day care escape teddy bear toy,Tom Hanks John Ratzenberger Don Rickles Lee Unkrich Adventure Animation Comedy Family Fantasy college day care escape teddy bear toy
McG,Christian Bale,Bryce Dallas Howard,Common,Action Adventure Sci-Fi,terminator salvation,death row future machine rescue skynet,Christian Bale Bryce Dallas Howard Common McG Action Adventure Sci-Fi death row future machine rescue skynet
James Wan,Jason Statham,Paul Walker,Vin Diesel,Action Crime Thriller,furious 7,car falling off a cliff hospital revenge star died before release terrorist,Jason Statham Paul Walker Vin Diesel James Wan Action Crime Thriller car falling off a cliff hospital revenge star died before release terrorist
Marc Forster,Peter Capaldi,Brad Pitt,Mireille Enos,Action Adventure Horror Sci-Fi Thriller,world war z,chaos disease infection pandemic zombie,Peter Capaldi Brad Pitt Mireille Enos Marc Forster Action Adventure Horror Sci-Fi Thriller chaos disease infection pandemic zombie
Bryan Singer,Jennifer Lawrence,Peter Dinklage,Hugh Jackman,Action Adventure Fantasy Sci-Fi Thriller,x-men: days of future past,dystopia super strength supernatural power time paradox time travel,Jennifer Lawrence Peter Dinklage Hugh Jackman Bryan Singer Action Adventure Fantasy Sci-Fi Thriller dystopia super strength supernatural power time paradox time travel
J.J. Abrams,Benedict Cumberbatch,Bruce Greenwood,Noel Clarke,Action Adventure Sci-Fi,star trek into darkness,admiral captain manhunt mission space,Benedict Cumberbatch Bruce Greenwood Noel Clarke J.J. Abrams Action Adventure Sci-Fi admiral captain manhunt mission space
Bryan Singer,Eddie Marsan,Ewen Bremner,Ralph Brown,Adventure Fantasy,jack the giant slayer,bean giant king no opening credits princess,Eddie Marsan Ewen Bremner Ralph Brown Bryan Singer Adventure Fantasy bean giant king no opening credits princess
Mike Newell,Jake Gyllenhaal,Richard Coyle,Reece Ritchie,Action Adventure Fantasy Romance,prince of persia: the sands of time,alamut dagger king persia princess,Jake Gyllenhaal Richard Coyle Reece Ritchie Mike Newell Action Adventure Fantasy Romance alamut dagger king persia princess
Guillermo del Toro,Charlie Hunnam,Clifton Collins Jr.,Larry Joe Campbell,Action Adventure Sci-Fi,pacific rim,giant monster kaiju pilot portal robot,Charlie Hunnam Clifton Collins Jr. Larry Joe Campbell Guillermo del Toro Action Adventure Sci-Fi giant monster kaiju pilot portal robot
Michael Bay,Glenn Morshower,Lester Speight,Kevin Dunn,Action Adventure Sci-Fi,transformers: dark of the moon,autobot decepticon job interview moon spacecraft,Glenn Morshower Lester Speight Kevin Dunn Michael Bay Action Adventure Sci-Fi autobot decepticon job interview moon spacecraft
Steven Spielberg,Harrison Ford,Ray Winstone,Jim Broadbent,Action Adventure Fantasy,indiana jones and the kingdom of the crystal skull,cult figure femme fatale indiana jones unsubtitled foreign language year 1957,Harrison Ford Ray Winstone Jim Broadbent Steven Spielberg Action Adventure Fantasy cult figure femme fatale indiana jones unsubtitled foreign language year 1957
Peter Sohn,A.J. Buckley,Jack McGraw,Peter Sohn,Adventure Animation Comedy Family Fantasy,the good dinosaur,apatosaurus asteroid dinosaur fear river,A.J. Buckley Jack McGraw Peter Sohn Peter Sohn Adventure Animation Comedy Family Fantasy apatosaurus asteroid dinosaur fear river
Mark Andrews,Kelly Macdonald,John Ratzenberger,Julie Walters,Adventure Animation Comedy Family Fantasy,brave,archery coming of age female warrior princess rebellious daughter,Kelly Macdonald John Ratzenberger Julie Walters Mark Andrews Adventure Animation Comedy Family Fantasy archery coming of age female warrior princess rebellious daughter
Justin Lin,Sofia Boutella,Melissa Roxburgh,Lydia Wilson,Action Adventure Sci-Fi Thriller,star trek beyond,hatred sequel space opera star trek third part,Sofia Boutella Melissa Roxburgh Lydia Wilson Justin Lin Action Adventure Sci-Fi Thriller hatred sequel space opera star trek third part
Andrew Stanton,John Ratzenberger,Fred Willard,Jeff Garlin,Adventure Animation Family Sci-Fi,wall·e,earth obesity plant robot soil,John Ratzenberger Fred Willard Jeff Garlin Andrew Stanton Adventure Animation Family Sci-Fi earth obesity plant robot soil
Brett Ratner,Tzi Ma,Dana Ivey,Noémie Lenoir,Action Comedy Crime Thriller,rush hour 3,ambassador assassination chinese french triad,Tzi Ma Dana Ivey Noémie Lenoir Brett Ratner Action Comedy Crime Thriller ambassador assassination chinese french triad
Roland Emmerich,Oliver Platt,Liam James,Tom McCarthy,Action Adventure Sci-Fi,2012,ark catastrophe geologist president writer,Oliver Platt Liam James Tom McCarthy Roland Emmerich Action Adventure Sci-Fi ark catastrophe geologist president writer
Robert Zemeckis,Robin Wright,Colin Firth,Gary Oldman,Animation Drama Family Fantasy,a christmas carol,charles dickens christmas christmas eve ghost scrooge,Robin Wright Colin Firth Gary Oldman Robert Zemeckis Animation Drama Family Fantasy charles dickens christmas christmas eve ghost scrooge
Lana Wachowski,Channing Tatum,Mila Kunis,Eddie Redmayne,Action Adventure Sci-Fi,jupiter ascending,box office flop critically bashed planet earth space opera woman in bra and panties,Channing Tatum Mila Kunis Eddie Redmayne Lana Wachowski Action Adventure Sci-Fi box office flop critically bashed planet earth space opera woman in bra and panties
Andrew Adamson,Jim Broadbent,Kiran Shah,Shane Rangi,Adventure Family Fantasy,"the chronicles of narnia: the lion, the witch and the wardrobe",hide and seek lion magic professor snow,Jim Broadbent Kiran Shah Shane Rangi Andrew Adamson Adventure Family Fantasy hide and seek lion magic professor snow
Bryan Singer,Jennifer Lawrence,Michael Fassbender,Tye Sheridan,Action Adventure Sci-Fi,x-men: apocalypse,mutant superhero superhero team x men year 1983,Jennifer Lawrence Michael Fassbender Tye Sheridan Bryan Singer Action Adventure Sci-Fi mutant superhero superhero team x men year 1983
Christopher Nolan,Christian Bale,Heath Ledger,Morgan Freeman,Action Crime Drama Thriller,the dark knight,based on comic book dc comics psychopath star died before release urban setting,Christian Bale Heath Ledger Morgan Freeman Christopher Nolan Action Crime Drama Thriller based on comic book dc comics psychopath star died before release urban setting
Pete Docter,John Ratzenberger,Delroy Lindo,Jess Harnell,Adventure Animation Comedy Family,up,balloon house promise retirement skeleton,John Ratzenberger Delroy Lindo Jess Harnell Pete Docter Adventure Animation Comedy Family balloon house promise retirement skeleton
Rob Letterman,Amy Poehler,Rainn Wilson,Stephen Colbert,Action Adventure Animation Comedy Family Sci-Fi,monsters vs. aliens,alien alien invasion alien space craft giant giantess,Amy Poehler Rainn Wilson Stephen Colbert Rob Letterman Action Adventure Animation Comedy Family Sci-Fi alien alien invasion alien space craft giant giantess
Jon Favreau,Robert Downey Jr.,Jeff Bridges,Jon Favreau,Action Adventure Sci-Fi,iron man,afghanistan billionaire inventor playboy u.s. air force,Robert Downey Jr. Jeff Bridges Jon Favreau Jon Favreau Action Adventure Sci-Fi afghanistan billionaire inventor playboy u.s. air force
Martin Scorsese,Chloë Grace Moretz,Christopher Lee,Ray Winstone,Adventure Drama Family Mystery,hugo,automaton mechanical railway station steampunk train,Chloë Grace Moretz Christopher Lee Ray Winstone Martin Scorsese Adventure Drama Family Mystery automaton mechanical railway station steampunk train
Barry Sonnenfeld,Will Smith,Salma Hayek,Bai Ling,Action Comedy Sci-Fi Western,wild wild west,buddy movie general inventor steampunk utah,Will Smith Salma Hayek Bai Ling Barry Sonnenfeld Action Comedy Sci-Fi Western buddy movie general inventor steampunk utah
Rob Cohen,Jet Li,Brendan Fraser,Russell Wong,Action Adventure Fantasy Horror Thriller,the mummy: tomb of the dragon emperor,army china emperor mummy shangri la,Jet Li Brendan Fraser Russell Wong Rob Cohen Action Adventure Fantasy Horror Thriller army china emperor mummy shangri la
David Ayer,Will Smith,Robin Atkin Downes,Ike Barinholtz,Action Adventure Comedy Sci-Fi,suicide squad,based on comic book critically bashed father daughter relationship reference to superman super villain,Will Smith Robin Atkin Downes Ike Barinholtz David Ayer Action Adventure Comedy Sci-Fi based on comic book critically bashed father daughter relationship reference to superman super villain
Tom Shadyac,Jimmy Bennett,Morgan Freeman,Steve Carell,Comedy Family Fantasy,evan almighty,ark change congressman depiction of god flood,Jimmy Bennett Morgan Freeman Steve Carell Tom Shadyac Comedy Family Fantasy ark change congressman depiction of god flood
Doug Liman,Tom Cruise,Lara Pulver,Noah Taylor,Action Adventure Sci-Fi,edge of tomorrow,alien combat dying repeatedly end of the world time loop,Tom Cruise Lara Pulver Noah Taylor Doug Liman Action Adventure Sci-Fi alien combat dying repeatedly end of the world time loop
Kevin Reynolds,Jeanne Tripplehorn,Rick Aviles,Zakes Mokae,Action Adventure Sci-Fi Thriller,waterworld,future sail sea smoker water,Jeanne Tripplehorn Rick Aviles Zakes Mokae Kevin Reynolds Action Adventure Sci-Fi Thriller future sail sea smoker water
Stephen Sommers,Joseph Gordon-Levitt,Dennis Quaid,Leo Howard,Action Adventure Sci-Fi Thriller,g.i. joe: the rise of cobra,cobra gi joe snake train warhead,Joseph Gordon-Levitt Dennis Quaid Leo Howard Stephen Sommers Action Adventure Sci-Fi Thriller cobra gi joe snake train warhead
Pete Docter,Amy Poehler,Mindy Kaling,Phyllis Smith,Adventure Animation Comedy Drama Family Fantasy,inside out,anger joy memory running away sadness,Amy Poehler Mindy Kaling Phyllis Smith Pete Docter Adventure Animation Comedy Drama Family Fantasy anger joy memory running away sadness
Jon Favreau,Robert Downey Jr.,Scarlett Johansson,Jon Favreau,Action Adventure Sci-Fi,iron man 2,hammer military monaco revenge tony stark,Robert Downey Jr. Scarlett Johansson Jon Favreau Jon Favreau Action Adventure Sci-Fi hammer military monaco revenge tony stark
Rupert Sanders,Chris Hemsworth,Kristen Stewart,Sam Claflin,Action Adventure Drama Fantasy,snow white and the huntsman,evil queen fairy tale magic queen snow white,Chris Hemsworth Kristen Stewart Sam Claflin Rupert Sanders Action Adventure Drama Fantasy evil queen fairy tale magic queen snow white
Robert Stromberg,Angelina Jolie Pitt,Sharlto Copley,Sam Riley,Action Adventure Family Fantasy Romance,maleficent,curse dark fantasy fairy king kingdom,Angelina Jolie Pitt Sharlto Copley Sam Riley Robert Stromberg Action Adventure Family Fantasy Romance curse dark fantasy fairy king kingdom
Matt Reeves,Gary Oldman,Judy Greer,Kodi Smit-McPhee,Action Adventure Drama Sci-Fi,dawn of the planet of the apes,ape dam leader post apocalypse sequel,Gary Oldman Judy Greer Kodi Smit-McPhee Matt Reeves Action Adventure Drama Sci-Fi ape dam leader post apocalypse sequel
Carl Rinsch,Keanu Reeves,Cary-Hiroyuki Tagawa,Jin Akanishi,Action Adventure Drama Fantasy,47 ronin,box office flop ronin samurai shogun tournament,Keanu Reeves Cary-Hiroyuki Tagawa Jin Akanishi Carl Rinsch Action Adventure Drama Fantasy box office flop ronin samurai shogun tournament
Anthony Russo,Scarlett Johansson,Chris Evans,Hayley Atwell,Action Adventure Sci-Fi,captain america: the winter soldier,conspiracy heroism megalomaniac super soldier world domination,Scarlett Johansson Chris Evans Hayley Atwell Anthony Russo Action Adventure Sci-Fi conspiracy heroism megalomaniac super soldier world domination
Mike Mitchell,Jon Hamm,Kathy Griffin,Mary Kay Place,Adventure Animation Comedy Family Fantasy,shrek forever after,alternate world fairy tale parody female warrior ogre true love,Jon Hamm Kathy Griffin Mary Kay Place Mike Mitchell Adventure Animation Comedy Family Fantasy alternate world fairy tale parody female warrior ogre true love
Brad Bird,Judy Greer,Chris Bauer,Thomas Robinson,Action Adventure Family Mystery Sci-Fi,tomorrowland,boy genius futuristic city inventor teenage girl time travel,Judy Greer Chris Bauer Thomas Robinson Brad Bird Action Adventure Family Mystery Sci-Fi boy genius futuristic city inventor teenage girl time travel
Don Hall,Damon Wayans Jr.,Daniel Henney,Abraham Benrubi,Action Adventure Animation Comedy Drama Family Sci-Fi,big hero 6,high tech martial arts masked man robot superhero,Damon Wayans Jr. Daniel Henney Abraham Benrubi Don Hall Action Adventure Animation Comedy Drama Family Sci-Fi high tech martial arts masked man robot superhero
Rich Moore,Jack McBrayer,Sarah Silverman,Joe Lo Truglio,Adventure Animation Comedy Family Sci-Fi,wreck-it ralph,arcade candy glitch king medal,Jack McBrayer Sarah Silverman Joe Lo Truglio Rich Moore Adventure Animation Comedy Family Sci-Fi arcade candy glitch king medal
Robert Zemeckis,Tom Hanks,Eddie Deezen,Peter Scolari,Adventure Animation Family Fantasy,the polar express,boy christmas christmas eve north pole train,Tom Hanks Eddie Deezen Peter Scolari Robert Zemeckis Adventure Animation Family Fantasy boy christmas christmas eve north pole train
Roland Emmerich,Vivica A. Fox,Sela Ward,Judd Hirsch,Action Adventure Sci-Fi,independence day: resurgence,alien battle defense independence day mothership,Vivica A. Fox Sela Ward Judd Hirsch Roland Emmerich Action Adventure Sci-Fi alien battle defense independence day mothership
Dean DeBlois,Gerard Butler,America Ferrera,Craig Ferguson,Adventure Animation Family Fantasy,how to train your dragon,dragon island training viking village,Gerard Butler America Ferrera Craig Ferguson Dean DeBlois Adventure Animation Family Fantasy dragon island training viking village
Jonathan Mostow,Nick Stahl,M.C. Gainey,Carolyn Hennesy,Action Sci-Fi,terminator 3: rise of the machines,drifter exploding truck future machine skynet,Nick Stahl M.C. Gainey Carolyn Hennesy Jonathan Mostow Action Sci-Fi drifter exploding truck future machine skynet
James Gunn,Bradley Cooper,Vin Diesel,Djimon Hounsou,Action Adventure Sci-Fi,guardians of the galaxy,bounty hunter outer space raccoon talking animal tree,Bradley Cooper Vin Diesel Djimon Hounsou James Gunn Action Adventure Sci-Fi bounty hunter outer space raccoon talking animal tree
Christopher Nolan,Matthew McConaughey,Anne Hathaway,Mackenzie Foy,Adventure Drama Sci-Fi,interstellar,black hole father daughter relationship saving the world space travel wormhole,Matthew McConaughey Anne Hathaway Mackenzie Foy Christopher Nolan Adventure Drama Sci-Fi black hole father daughter relationship saving the world space travel wormhole
Christopher Nolan,Leonardo DiCaprio,Tom Hardy,Joseph Gordon-Levitt,Action Adventure Sci-Fi Thriller,inception,ambiguous ending corporate espionage dream subconscious thief,Leonardo DiCaprio Tom Hardy Joseph Gordon-Levitt Christopher Nolan Action Adventure Sci-Fi Thriller ambiguous ending corporate espionage dream subconscious thief
Peter Jackson,Aidan Turner,Adam Brown,James Nesbitt,Adventure Fantasy,the hobbit: an unexpected journey,dragon dwarf hobbit orc wizard,Aidan Turner Adam Brown James Nesbitt Peter Jackson Adventure Fantasy dragon dwarf hobbit orc wizard
David Fincher,Brad Pitt,Jason Flemyng,Julia Ormond,Drama Fantasy Romance,the curious case of benjamin button,deformed baby diary lingerie slip older man younger woman relationship premature aging,Brad Pitt Jason Flemyng Julia Ormond David Fincher Drama Fantasy Romance deformed baby diary lingerie slip older man younger woman relationship premature aging
Matthew Vaughn,Jennifer Lawrence,Michael Fassbender,Oliver Platt,Action Adventure Sci-Fi,x-men: first class,cia cia agent mutant nuclear war professor,Jennifer Lawrence Michael Fassbender Oliver Platt Matthew Vaughn Action Adventure Sci-Fi cia cia agent mutant nuclear war professor
Francis Lawrence,Jennifer Lawrence,Philip Seymour Hoffman,Josh Hutcherson,Adventure Sci-Fi,the hunger games: mockingjay - part 2,death of sister dystopia execution rebellion revolution,Jennifer Lawrence Philip Seymour Hoffman Josh Hutcherson Francis Lawrence Adventure Sci-Fi death of sister dystopia execution rebellion revolution
Jon Turteltaub,Nicolas Cage,Omar Benson Miller,Robert Capron,Action Adventure Family Fantasy,the sorcerer's apprentice,chosen one enchanted object love spell training,Nicolas Cage Omar Benson Miller Robert Capron Jon Turteltaub Action Adventure Family Fantasy chosen one enchanted object love spell training
Wolfgang Petersen,Jimmy Bennett,Mike Vogel,Andre Braugher,Action Adventure Drama Thriller,poseidon,cruise escape ocean passenger water,Jimmy Bennett Mike Vogel Andre Braugher Wolfgang Petersen Action Adventure Drama Thriller cruise escape ocean passenger water
James Bobin,Johnny Depp,Alan Rickman,Anne Hathaway,Adventure Family Fantasy,alice through the looking glass,clock dark fantasy mad hatter queen sequel,Johnny Depp Alan Rickman Anne Hathaway James Bobin Adventure Family Fantasy clock dark fantasy mad hatter queen sequel
Chris Miller,Justin Timberlake,Eric Idle,Rupert Everett,Adventure Animation Comedy Family Fantasy,shrek the third,disney spoof fairy tale prince princess tough guy,Justin Timberlake Eric Idle Rupert Everett Chris Miller Adventure Animation Comedy Family Fantasy disney spoof fairy tale prince princess tough guy
Duncan Jones,Dominic Cooper,Callum Rennie,Ruth Negga,Action Adventure Fantasy,warcraft,based on video game fictional language fictional war orc sword and sorcery,Dominic Cooper Callum Rennie Ruth Negga Duncan Jones Action Adventure Fantasy based on video game fictional language fictional war orc sword and sorcery
Alan Taylor,J.K. Simmons,Emilia Clarke,Matt Smith,Action Adventure Sci-Fi,terminator genisys,alternate timeline cyborg future robot time machine,J.K. Simmons Emilia Clarke Matt Smith Alan Taylor Action Adventure Sci-Fi alternate timeline cyborg future robot time machine
Michael Apted,Bruce Spence,Shane Rangi,Laura Brent,Adventure Family Fantasy,the chronicles of narnia: the voyage of the dawn treader,dragon king mouse quest warrior,Bruce Spence Shane Rangi Laura Brent Michael Apted Adventure Family Fantasy dragon king mouse quest warrior
Michael Bay,Jennifer Garner,Jaime King,Mako,Action Drama History Romance War,pearl harbor,air raid black smoke japanese military japanese navy sunday,Jennifer Garner Jaime King Mako Michael Bay Action Drama History Romance War air raid black smoke japanese military japanese navy sunday
Michael Bay,Zack Ward,Michael O'Neill,Kevin Dunn,Action Adventure Sci-Fi,transformers,alien contact autobot decepticon robot vs. robot teenage hero,Zack Ward Michael O'Neill Kevin Dunn Michael Bay Action Adventure Sci-Fi alien contact autobot decepticon robot vs. robot teenage hero
Oliver Stone,Anthony Hopkins,Angelina Jolie Pitt,Brian Blessed,Action Adventure Biography Drama History Romance War,alexander,ancient greece conquest greek greek myth king,Anthony Hopkins Angelina Jolie Pitt Brian Blessed Oliver Stone Action Adventure Biography Drama History Romance War ancient greece conquest greek greek myth king
David Yates,Robert Pattinson,Daniel Radcliffe,Fiona Shaw,Adventure Family Fantasy Mystery,harry potter and the order of the phoenix,battle magic school teacher wizard,Robert Pattinson Daniel Radcliffe Fiona Shaw David Yates Adventure Family Fantasy Mystery battle magic school teacher wizard
